Data,Descrição,Valor
2025-03-01,Compra padaria - Débito,-30.00
2025-03-02,Depósito mensalidade cliente - Crédito,750.00
2025-03-03,Transferência PIX para Maria - Débito,-200.00
2025-03-04,Pagamento conta água - Débito,-150.75
2025-03-05,Compra farmácia - Débito,-45.60
2025-03-06,Transferência PIX recebida - Crédito,350.00
2025-03-07,Salário mensal - Crédito,5000.00
2025-03-08,Compra supermercado - Débito,-280.00
2025-03-09,Juros sobre saldo - Crédito,10.50
2025-03-10,Saída no caixa eletrônico - Débito,-600.00
2025-03-11,Pagamento financiamento - Débito,-850.00
2025-03-12,Transferência PIX para Lucas - Débito,-320.00
2025-03-13,Restaurante - Débito,-120.90
2025-03-14,Depósito bônus anual - Crédito,1500.00
2025-03-15,Transferência PIX recebida de Ana - Crédito,200.00
2025-03-16,Compra eletrônicos - Débito,-1400.00
2025-03-17,Juros da conta - Crédito,18.25
2025-03-18,Compra livros - Débito,-85.40
2025-03-19,Transferência PIX recebida de Pedro - Crédito,250.00
2025-03-20,Compra online - Débito,-90.75
2025-03-21,Pagamento conta celular - Débito,-60.00
2025-03-22,Transferência PIX para Eduardo - Débito,-150.00
2025-03-23,Juros sobre aplicação - Crédito,30.00
2025-03-24,Depósito de venda - Crédito,400.00
2025-03-25,Taxa bancária - Débito,-12.00